type,name,dependencies_count,dependencies,header,category
PROCEDURE,dt_verstamp006,1,dt_verstamp006,create procedure dbo.dt_verstamp006,نیازمند بررسی
PROCEDURE,dt_verstamp007,1,dt_verstamp007,create procedure dbo.dt_verstamp007,نیازمند بررسی
PROCEDURE,dt_whocheckedout,6,"dt_displayoaerror, dt_getpropertiesbyid_vcs, dt_whocheckedout, dtproperties, sp_OACreate, sp_OAMethod",create proc dbo.dt_whocheckedout,نیازمند بررسی
PROCEDURE,dt_whocheckedout_u,2,"dt_whocheckedout, dt_whocheckedout_u",create proc dbo.dt_whocheckedout_u,نیازمند بررسی
PROCEDURE,GetCurrentQueryCode,2,"dbo, sysprocesses",CREATE PROCEDURE GetCurrentQueryCode,نیازمند بررسی
PROCEDURE,MakeDB,26,"Base_ItemType, Base_Months, Base_SeMahe, Base_ShakhesYerSeMahe, MakeDB, base_IntpVaziat, base_NoteGroup, base_PersonalityTyp, base_ShakhesType, base_TajhzType, base_ZrLc, base_ader, base_book, base_book_list, base_fhbh, base_fsbs, base_nmmhb, base_pvst, base_shfs, base_sorc, base_sorc_list, base_tyun, base_unit, base_unit_raw, brv_mult, dbo",CREATE PROCEDURE [dbo].[MakeDB] @NoAna bit,نیازمند بررسی
PROCEDURE,Manual_Edit_Acts_Units,0,,"CREATE PROCEDURE Manual_Edit_Acts_Units @Wrong_code int , @correct_code int AS",نیازمند بررسی
PROCEDURE,Manual_Edit_Grop_Names,0,,"CREATE PROCEDURE Manual_Edit_Grop_Names @Wrong_code int , @correct_code int AS",نیازمند بررسی
PROCEDURE,Manual_Edit_Sorc_List,0,,"CREATE PROCEDURE Manual_Edit_Sorc_List @Wrong_code int , @correct_code int",نیازمند بررسی
PROCEDURE,Manual_Edit_Units,0,,"CREATE PROCEDURE Manual_Edit_Units @Wrong_code int , @correct_code int AS",نیازمند بررسی
PROCEDURE,new_project_permissions_asnad,1,new_project_permissions_asnad,"CREATE PROCEDURE [dbo].[new_project_permissions_asnad] (@contract_id int,@role_id int)",دسترسی/نقش/وضعیت کاربر
