name_lower,count,folders,prefixes
sv_pymn_list_all.rpt,5,"Custom_3, Custom_4, Land, Port, stnd",sv
sv_pymn_tree.rpt,5,"Custom_3, Custom_4, Land, Port, stnd",sv
sv_pymn_tree_all.rpt,5,"Custom_3, Custom_4, Land, Port, stnd",sv
sv_rzmt_acts.rpt,5,"Custom_3, Custom_4, Land, Port, stnd",sv
sv_seas_76574.rpt,5,"Custom_3, Custom_4, Land, Port, stnd",sv
sv_seas_afka.rpt,5,"Custom_3, Custom_4, Land, Port, stnd",sv
sv_seas_afka_76574.rpt,5,"Custom_3, Custom_4, Land, Port, stnd",sv
sv_seas_anjam_pish.rpt,5,"Custom_3, Custom_4, Land, Port, stnd",sv
sv_seas_brv.rpt,5,"Custom_3, Custom_4, Land, Port, stnd",sv
sv_seas_moth.rpt,5,"Custom_3, Custom_4, Land, Port, stnd",sv
sv_seas_pish.rpt,5,"Custom_3, Custom_4, Land, Port, stnd",sv
sv_seas_v_tdil.rpt,5,"Custom_3, Custom_4, Land, Port, stnd",sv
sv_sorc.rpt,5,"Custom_3, Custom_4, Land, Port, stnd",sv
sv_sorc_acts.rpt,5,"Custom_3, Custom_4, Land, Port, stnd",sv
sv_sorc_brv.rpt,5,"Custom_3, Custom_4, Land, Port, stnd",sv
sv_sorc_brv_one.rpt,5,"Custom_3, Custom_4, Land, Port, stnd",sv
sv_sorc_brv_totl.rpt,5,"Custom_3, Custom_4, Land, Port, stnd",sv
sv_sorc_inpt.rpt,5,"Custom_3, Custom_4, Land, Port, stnd",sv
sv_sorc_inpt_one.rpt,5,"Custom_3, Custom_4, Land, Port, stnd",sv
sv_sorc_inpt_totl.rpt,5,"Custom_3, Custom_4, Land, Port, stnd",sv
sv_sorc_nufh_acts.rpt,5,"Custom_3, Custom_4, Land, Port, stnd",sv
sv_sorc_one.rpt,5,"Custom_3, Custom_4, Land, Port, stnd",sv
sv_sorc_totl.rpt,5,"Custom_3, Custom_4, Land, Port, stnd",sv
sv_sorc_totl_acts.rpt,5,"Custom_3, Custom_4, Land, Port, stnd",sv
sv_tatb_seas.rpt,5,"Custom_3, Custom_4, Land, Port, stnd",sv
sv_zrib_koli.rpt,5,"Custom_3, Custom_4, Land, Port, stnd",sv
sv_zrib_pykr.rpt,5,"Custom_3, Custom_4, Land, Port, stnd",sv
sv_zrib_work.rpt,5,"Custom_3, Custom_4, Land, Port, stnd",sv
br_bgml_tj_shahrdari.rpt,4,"Land, Port, Shahrdari, stnd",br
ps_ana.rpt,4,"Custom, Land, Port, stnd",ps
ps_bgml_norm.rpt,4,"Land, Port, Shahrdari, stnd",ps
ps_bgml_tj_shahrdari.rpt,4,"Land, Port, Shahrdari, stnd",ps
ps_pymn.rpt,4,"Land, Port, Shahrdari, stnd",ps
sv_rzmt_stmj.rpt,4,"Custom, Custom_4, Shahrdari, stnd",sv
sv_seas_acts.rpt,4,"Custom_3, Custom_4, Port, stnd",sv
br_ana_4951.rpt,3,"Land, Port, stnd",br
br_ana_4951_new.rpt,3,"Land, Port, stnd",br
br_ana_4951_new_empty.rpt,3,"Land, Port, stnd",br
br_ana_acts.rpt,3,"Land, Port, stnd",br
br_ana_list.rpt,3,"Land, Port, stnd",br
br_ana_naft.rpt,3,"Land, Port, stnd",br
br_ana_new.rpt,3,"Land, Port, stnd",br
br_ana_ovhd.rpt,3,"Land, Port, stnd",br
br_bgml_10000.rpt,3,"Land, Port, stnd",br
br_bgml_65.rpt,3,"Land, Port, stnd",br
br_bgml_acts.rpt,3,"Land, Port, stnd",br
br_bgml_afka.rpt,3,"Land, Port, stnd",br
br_bgml_done.rpt,3,"Land, Port, stnd",br
br_bgml_mash_norm.rpt,3,"Custom_1, Custom_2, stnd",br
br_bgml_moth.rpt,3,"Land, Port, stnd",br
br_bgml_nozoli.rpt,3,"Land, Port, stnd",br
br_bgml_sarjam.rpt,3,"Land, Port, stnd",br
br_bgml_tdil.rpt,3,"Land, Port, stnd",br
br_dife_one_10000.rpt,3,"Land, Port, stnd",br
br_dife_one_bakh.rpt,3,"Land, Port, stnd",br
br_dife_one_fatd.rpt,3,"Land, Port, stnd",br
br_dife_totl_10000.rpt,3,"Land, Port, stnd",br
br_dife_totl_bakh.rpt,3,"Land, Port, stnd",br
br_dife_totl_fatd.rpt,3,"Land, Port, stnd",br
br_fhbh.rpt,3,"Land, Port, stnd",br
br_fhbh_mash.rpt,3,"Land, Port, stnd",br
br_hmpy_distance.rpt,3,"Land, Port, stnd",br
br_hmpy_rzmt.rpt,3,"Land, Port, stnd",br
br_pymn_list.rpt,3,"Land, Port, stnd",br
br_pymn_list_all.rpt,3,"Land, Port, stnd",br
br_pymn_tree.rpt,3,"Land, Port, stnd",br
br_pymn_tree_all.rpt,3,"Land, Port, stnd",br
br_rzmt.rpt,3,"Land, Port, stnd",br
