import_order,target_table,xml_path_in_script,xml_tag_in_script,xml_tag_stripped,script_column_count,script_columns,warning
12,brv_type_situ,/NewDataSet/brv_type_situ,brv_type_situ,brv_type_situ,49,tst_link_proj|tst_nusv|tst_type|tst_rad|tst_date|tst_nusv_previous|tst_type_previous|tst_date_previous|tst_nusv_previous_tadil|tst_type_previous_tadil|tst_date_previous_tadil|tst_type_previous_compare|tst_mbsv|tst_mbsv_previous|tst_mbtd_sum|tst_mbtd_sum_rs|tst_mbtd_sum_previous|tst_mbtd_sum_previous_rs|tst_mbfosi|tst_is_locked|tst_lock_pass|tst_lock_desc|tst_zrtb_B|tst_zrtb_F|tst_zrtb|tst_hgnb|tst_heit|tst_totl_tool|tst_zrtn|tst_tool_ln|tst_zrib_an|tst_parent_nusv|tst_parent_type|tst_selected|tst_FirstDay_Intp|tst_tgrb_zrtd|tst_type_tdil|tst_zrib_tdil|tst_type_avg_tdil|tst_nufh_shkh_koli_tdil|tst_avg_intp_date_fasli|tst_last|tst_Mog_Onvan1|tst_Mog_Onvan2|tst_Mog_Onvan3|tst_Mog_Onvan4|tst_Mog_Onvan5|tst_Mog_Onvan6|tst_Mog_Onvan7,
13,brv_TadilKosorat,/NewDataSet/brv_TadilKosorat,brv_TadilKosorat,brv_TadilKosorat,9,Tkr_link_proj|Tkr_nusv|Tkr_type|Tkr_id|Tkr_rad|Tkr_name|Tkr_prcn|Tkr_price|Tkr_PlusOrMinec,
14,brv_kosorat,/NewDataSet/brv_kosorat,brv_kosorat,brv_kosorat,9,ksr_link_proj|ksr_nusv|ksr_type|ksr_id|ksr_rad|ksr_name|ksr_prcn|ksr_price|ksr_PlusOrMinec,
15,brv_ovtj,/NewDataSet/brv_ovtj,brv_ovtj,brv_ovtj,11,ovt_link_proj|ovt_nusv|ovt_type|ovt_id|ovt_rad|ovt_name|ovt_unit|ovt_pcun|ovt_quan|ovt_price|ovt_mola,
16,brv_ovpr,/NewDataSet/brv_ovpr,brv_ovpr,brv_ovpr,11,ovp_link_proj|ovp_nusv|ovp_type|ovp_id|ovp_rad|ovp_name|ovp_mola|ovp_numb|ovp_pcmo|ovp_mont|ovp_pcal,
17,brv_ovma,/NewDataSet/brv_ovma,brv_ovma,brv_ovma,18,ovm_link_proj|ovm_nusv|ovm_type|ovm_id|ovm_rad|ovm_name|ovm_mola|ovm_numb|ovm_pchr|ovm_pert|ovm_price|ovm_totalPrice|ovm_minPrice|ovm_monthCost|ovm_totalMonthCost|ovm_kar|ovm_mont|ovm_pcal,
18,brv_ovhd,/NewDataSet/brv_ovhd,brv_ovhd,brv_ovhd,9,ovh_link_proj|ovh_nusv|ovh_type|ovh_id|ovh_rad|ovh_dscr|ovh_mola|ovh_prcn|ovh_Type_A_or_D,
19,brv_intp,/NewDataSet/brv_intp,brv_intp,brv_intp,16,itp_link_proj|itp_nusv|itp_type|itp_nusv_previous|itp_type_previous|itp_num_prod|itp_year|itp_rad|itp_prod|itp_tidy|itp_avg|itp_year_shkh|itp_num_prod_shkh|itp_type_shkh|itp_num_type_shkh|itp_prod_shkh,
20,brv_fhpy,/NewDataSet/brv_fhpy,brv_fhpy,brv_fhpy,322,fhp_link_proj|fhp_nufh|fhp_nusv|fhp_type|fhp_abst|fhp_dscr|fhp_rad|fhp_plmu_tit|fhp_loca_tit|fhp_heit_tit|fhp_taba_tit|fhp_hard_tit|fhp_tatb_tit|fhp_oth1_tit|fhp_oth2_tit|fhp_oth3_tit|fhp_ovhd_tit|fhp_zrmp1_tit|fhp_zrmp2_tit|fhp_loca_tit_psn|fhp_heit_tit_psn|fhp_taba_tit_psn|fhp_hard_tit_psn|fhp_tatb_tit_psn|fhp_oth1_tit_psn|fhp_oth2_tit_psn|fhp_oth3_tit_psn|fhp_ovhd_tit_psn|fhp_plmu|fhp_plmu_s|fhp_plmu_fc|fhp_plmu_mp|fhp_plmu_s_mp|fhp_plmu_fc_mp|fhp_loca|fhp_loca_s|fhp_loca_fc|fhp_loca_mp|fhp_loca_s_mp|fhp_loca_fc_mp|fhp_heit|fhp_heit_s|fhp_heit_fc|fhp_heit_mp|fhp_heit_s_mp|fhp_heit_fc_mp|fhp_taba|fhp_taba_s|fhp_taba_fc|fhp_taba_mp|fhp_taba_s_mp|fhp_taba_fc_mp|fhp_hard|fhp_hard_s|fhp_hard_fc|fhp_hard_mp|fhp_hard_s_mp|fhp_hard_fc_mp|fhp_tatb|fhp_tatb_s|fhp_tatb_fc|fhp_tatb_mp|fhp_tatb_s_mp|fhp_tatb_fc_mp|fhp_oth1|fhp_oth1_s|fhp_oth1_fc|fhp_oth1_mp|fhp_oth1_s_mp|fhp_oth1_fc_mp|fhp_oth2|fhp_oth2_s|fhp_oth2_fc|fhp_oth2_mp|fhp_oth2_s_mp|fhp_oth2_fc_mp|fhp_oth3|fhp_oth3_s|fhp_oth3_fc|fhp_oth3_mp|fhp_oth3_s_mp|fhp_oth3_fc_mp|fhp_ovhd|fhp_ovhd_s|fhp_ovhd_fc|fhp_ovhd_mp|fhp_ovhd_s_mp|fhp_ovhd_fc_mp|fhp_sumz|fhp_sumz_s|fhp_sumz_fc|fhp_sumz_mp|fhp_sumz_s_mp|fhp_sumz_fc_mp|fhp_zrmp|fhp_zrmp_sx|fhp_zrmp_fc|fhp_zrse|fhp_mbfh|fhp_mbsx|fhp_mbfc|fhp_mbmp|fhp_mb_totl|fhp_mbfh_z|fhp_mbsx_z|fhp_mbfc_z|fhp_mbmp_z|fhp_mb_totl_z|fhp_mbfh_work|fhp_mbsx_work|fhp_mbfc_work|fhp_mbmp_work|fhp_mb_work|fhp_mb_work_ol|fhp_mbfh_work_z|fhp_mbsx_work_z|fhp_mbfc_work_z|fhp_mbmp_work_z|fhp_mb_work_z|fhp_mb_work_ol_z|fhp_pr_work|fhp_pr_work_z|fhp_mbtj_work|fhp_mbtj_fmul_work|fhp_mbtj_work_totl|fhp_mbfh_work_tatb|fhp_mbsx_work_tatb|fhp_mbfc_work_tatb|fhp_mbmp_work_tatb|fhp_mb_work_tatb|fhp_mbfh_work_tatb_z|fhp_mbsx_work_tatb_z|fhp_mbfc_work_tatb_z|fhp_mbmp_work_tatb_z|fhp_mb_work_tatb_z|fhp_mbtj_work_tatb|fhp_fzkh_new|fhp_fzkh|fhp_fzkh_fznew|fhp_fzkh_kh|fhp_fzkh_sum|fhp_fzkh_new_z|fhp_fzkh_z|fhp_fzkh_fznew_z|fhp_fzkh_kh_z|fhp_fzkh_sum_z|fhp_pr_fzkh|fhp_pr_fzkh_z|fhp_btjh|fhp_tjhz_prcn|fhp_mbfh_tdil|fhp_mbsx_tdil|fhp_mb_totl_tdil|fhp_mb_work_tdil|fhp_mbfh_tdil_z|fhp_mbsx_tdil_z|fhp_mb_totl_tdil_z|fhp_mb_work_tdil_z|fhp_przr|fhp_prbv|fhp_prbv_z|fhp_prbv_tdil_z|fhp_prbv_tdil|fhp_mb49|fhp_mbtj|fhp_mbtj_fmul|fhp_mbtj_tdil|fhp_mbtj_fmul_tdil|fhp_mbts|fhp_mbts_tdil|fhp_tl49|fhp_tgrb|fhp_auto|fhp_prtj|fhp_mb_yargh_kh|fhp_mb_yargh_zr|fhp_mb_loca_fh|fhp_mb_loca_sx|fhp_mb_loca|fhp_mb_heit_fh|fhp_mb_heit_sx|fhp_mb_heit|fhp_mb_taba_fh|fhp_mb_taba_sx|fhp_mb_taba|fhp_mb_hard_fh|fhp_mb_hard_sx|fhp_mb_hard|fhp_mb_tatb_fh|fhp_mb_tatb_sx|fhp_mb_tatb|fhp_mb_oth1_fh|fhp_mb_oth1_sx|fhp_mb_oth1|fhp_mb_oth2_fh|fhp_mb_oth2_sx|fhp_mb_oth2_fc|fhp_mb_oth2|fhp_mb_oth3_fh|fhp_mb_oth3_sx|fhp_mb_oth3|fhp_mb_ovhd_fh|fhp_mb_ovhd_sx|fhp_mb_ovhd_fc|fhp_mb_ovhd|fhp_mb_sumz_fh|fhp_mb_sumz_sx|fhp_mb_sumz_fc|fhp_mb_sumz|fhp_loca_psn|fhp_loca_s_psn|fhp_loca_fc_psn|fhp_heit_psn|fhp_heit_s_psn|fhp_heit_fc_psn|fhp_taba_psn|fhp_taba_s_psn|fhp_taba_fc_psn|fhp_hard_psn|fhp_hard_s_psn|fhp_hard_fc_psn|fhp_tatb_psn|fhp_tatb_s_psn|fhp_tatb_fc_psn|fhp_oth1_psn|fhp_oth1_s_psn|fhp_oth1_fc_psn|fhp_oth2_psn|fhp_oth2_s_psn|fhp_oth2_fc_psn|fhp_oth3_psn|fhp_oth3_s_psn|fhp_oth3_fc_psn|fhp_ovhd_psn|fhp_ovhd_s_psn|fhp_ovhd_fc_psn|fhp_sumz_psn|fhp_sumz_s_psn|fhp_sumz_fc_psn|fhp_mb_loca_fh_psn|fhp_mb_loca_sx_psn|fhp_mb_loca_psn|fhp_mb_heit_fh_psn|fhp_mb_heit_sx_psn|fhp_mb_heit_psn|fhp_mb_taba_fh_psn|fhp_mb_taba_sx_psn|fhp_mb_taba_psn|fhp_mb_hard_fh_psn|fhp_mb_hard_sx_psn|fhp_mb_hard_psn|fhp_mb_tatb_fh_psn|fhp_mb_tatb_sx_psn|fhp_mb_tatb_psn|fhp_mb_oth1_fh_psn|fhp_mb_oth1_sx_psn|fhp_mb_oth1_psn|fhp_mb_oth2_fh_psn|fhp_mb_oth2_sx_psn|fhp_mb_oth2_psn|fhp_mb_oth3_fh_psn|fhp_mb_oth3_sx_psn|fhp_mb_oth3_psn|fhp_mb_ovhd_fh_psn|fhp_mb_ovhd_sx_psn|fhp_mb_ovhd_psn|fhp_mb_sumz_fh_psn|fhp_mb_sumz_sx_psn|fhp_mb_sumz_psn|fhp_tgrb_psn|fhp_auto_psn|fhp_prtj_psn|fhp_mb49_psn|fhp_mbtj_psn|fhp_mbtj_fmul_psn|fhp_mbts_psn|fhp_tl49_psn|fhp_prbv_49|fhp_roshd_49|fhp_mbfh_psn|fhp_mbsx_psn|fhp_mbmp_psn|fhp_mbfc_psn|fhp_mb_totl_psn|fhp_roshd|fhp_roshd_tdil|fhp_mbfh_psn_z|fhp_mbsx_psn_z|fhp_mbmp_psn_z|fhp_mbfc_psn_z|fhp_mb_totl_psn_z|fhp_roshd_z|fhp_zrib_z|fhp_roshd_tdil_z|fhp_mbfh_tdil_psn|fhp_mbsx_tdil_psn|fhp_mb_totl_tdil_psn|fhp_roshd_tdil_psn|fhp_mbfh_tdil_psn_z|fhp_mbsx_tdil_psn_z|fhp_mb_totl_tdil_psn_z|fhp_roshd_tdil_psn_z|fhp_prbv_tdil_psn_z|fhp_prbv_tdil_psn|fhp_mb_khtd|fhp_mb_khtd_rs|fhp_is_locked|fhp_lock_pass|fhp_lock_desc|fhp_tdil_tatb|fhp_mb_yargh_kh_psn|fhp_mb_yargh_zr_psn|shk_pd_j|shk_pd_m|shk_eblaghi|shk_motanazer|fhp_rzmt_numo_header|fhp_rzmt_tool_header|fhp_rzmt_arz_header|fhp_rzmt_heit_header|fhp_rzmt_weit_header|fhp_mb_tdil_10000,
21,brv_documents,/NewDataSet/brv_documents,brv_documents,brv_documents,8,doc_link_proj|doc_nusv|doc_type|doc_name|doc_rad|doc_path|doc_content|doc_filename,
22,brv_fspy,/NewDataSet/brv_fspy,brv_fspy,brv_fspy,29,fsp_link_proj|fsp_id|fsp_nusv|fsp_type|fsp_rad|fsp_atsj|fsp_numb|fsp_date|fsp_dscr|fsp_quan|fsp_prmb|fsp_prfc|fsp_prja|fsp_prmf|fsp_prmb_mtmb|fsp_prja_mtmb|fsp_tdyr_mtmb|fsp_tiyr_mtmb|fsp_prmf_mtmb|fsp_totl_mtmb|fsp_zrpt|fsp_totl|fsp_radj|fsp_zrtd|fsp_tmyr|fsp_link_previous|fsp_type_previous|fsp_mola|fsp_totl_10000,
23,brv_zrtb,/NewDataSet/brv_zrtb,brv_zrtb,brv_zrtb,10,ztb_link_proj|ztb_id|ztb_nusv|ztb_type|ztb_rad|ztb_numb|ztb_dscr|ztb_area|ztb_height|ztb_Qi,
24,brv_tonl,/NewDataSet/brv_tonl,brv_tonl,brv_tonl,8,tnl_link_proj|tnl_rad|tnl_nusv|tnl_type|tnl_id|tnl_name|tnl_dscr|tnl_dpth,
25,brv_acts,/NewDataSet/brv_acts,brv_acts,brv_acts,39,act_link_proj|act_coac|act_nusv|act_type|act_id|act_parent|act_level|act_rad|act_name|act_dscr|act_unit|act_zrib|act_pcal|act_pcal_kh|act_pcst|act_pcst_kh|act_pcst_ol|act_pcst_ol_kh|act_pcun|act_quan|act_prcn|act_prcn_ol|act_weit|act_prcf|act_task_type|act_duration|act_total_rad|act_User_Edit|act_Start|act_Finish|act_Min_Start_User|act_Min_Start_CPM|act_Start_Date|act_Finish_Date|act_IsSummery|act_IsPlanned|act_pcal_psn|act_weit_p|act_pcun_psn,
26,brv_ahta,/NewDataSet/brv_ahta,brv_ahta,brv_ahta,39,ata_link_proj|ata_nufh|ata_nuse|ata_nusv_previous|ata_type_previous|ata_nusv|ata_type|ata_inrd|ata_year|ata_rad|ata_nufh_name|ata_name|ata_pcnw|ata_pcol|ata_pcnz|ata_pcoz|ata_zrta|ata_tidy|ata_pcwp|ata_pcwz|ata_pcta|ata_pctz|ata_shnw|ata_shbs|ata_tofh|ata_tofh_name|ata_tose|ata_tose_name|ata_fsrs|ata_str_prod|ata_str_avg|ata_str_tatb|ata_No_Zero|ata_pcnw_3m|ata_pcol_3m|ata_pcnz_3m|ata_pcoz_3m|ata_year_shkh|ata_prod_shkh,
