order,table,prefix,row_count,field_count,avg_fields_per_row,first_fields,all_fields
31,brv_bgml,brv,2122,32,31.23,bgm_link_proj|bgm_nusv|bgm_type|bgm_id|bgm_nufh|bgm_cofh|bgm_coac|bgm_rad|bgm_nuse|bgm_quan|bgm_qust|bgm_pcal,bgm_link_proj|bgm_nusv|bgm_type|bgm_id|bgm_nufh|bgm_cofh|bgm_coac|bgm_rad|bgm_nuse|bgm_quan|bgm_qust|bgm_pcal|bgm_pcal_psn|bgm_pcst|bgm_pcst_psn|bgm_prcn|bgm_swf2|bgm_qufz|bgm_pcfz|bgm_qukh|bgm_pckh|bgm_IsAnalyzed|bgm_is_equal_ader|bgm_mpwk|bgm_qust_ol|bgm_pcst_ol|bgm_no_tjhz|bgm_no_tatbigh_in_cnv|bgm_CreatInBgml|bgm_From_Haml|bgm_link_previous|bgm_type_previous
32,brv_hmbs,brv,757,18,14.67,hmb_link_proj|hmb_nufh|hmb_nuse|hmb_cofh|hmb_link_grop|hmb_dscr|hmb_nusv|hmb_type|hmb_zar1|hmb_sumz|hmb_checked|hmb_zar3,hmb_link_proj|hmb_nufh|hmb_nuse|hmb_cofh|hmb_link_grop|hmb_dscr|hmb_nusv|hmb_type|hmb_zar1|hmb_sumz|hmb_checked|hmb_zar3|hmb_zar2|hmb_dsz2|hmb_zar4|hmb_dsz4|hmb_dsz1|hmb_dsz3
33,brv_dstb,brv,1297,16,15.73,dsb_link_proj|dsb_link_grop|dsb_nufh|dsb_frkm|dsb_nusv|dsb_type|dsb_nuse|dsb_cofh|dsb_tokm|dsb_zrib|dsb_khaki_onvan|dsb_khaki_zarib,dsb_link_proj|dsb_link_grop|dsb_nufh|dsb_frkm|dsb_nusv|dsb_type|dsb_nuse|dsb_cofh|dsb_tokm|dsb_zrib|dsb_khaki_onvan|dsb_khaki_zarib|dsb_sheni_onvan|dsb_sheni_zarib|dsb_other_onvan|dsb_other_zarib
34,brv_hmpy,brv,711,11,11.0,hmp_link_proj|hmp_nufh|hmp_nuse|hmp_cofh|hmp_link_grop|hmp_dscr|hmp_nusv|hmp_type|hmp_rad|hmp_quan|hmp_totl,hmp_link_proj|hmp_nufh|hmp_nuse|hmp_cofh|hmp_link_grop|hmp_dscr|hmp_nusv|hmp_type|hmp_rad|hmp_quan|hmp_totl
35,brv_hmpy_rzmt,brv,3382,12,12.0,hmp_link_proj|hmp_nufh|hmp_nuse|hmp_cofh|hmp_link_grop|hmp_dscr|hmp_link_mog|hmp_nusv|hmp_type|hmp_rad|hmp_quan|hmp_totl,hmp_link_proj|hmp_nufh|hmp_nuse|hmp_cofh|hmp_link_grop|hmp_dscr|hmp_link_mog|hmp_nusv|hmp_type|hmp_rad|hmp_quan|hmp_totl
36,brv_dstn_main,brv,960,10,7.69,dsn_link_proj|dsn_id|dsn_nusv|dsn_type|dsn_nufh|dsn_link_grop|dsn_sum_m|dsn_dstn|dsn_sum_i|dsn_fromto,dsn_link_proj|dsn_id|dsn_nusv|dsn_type|dsn_nufh|dsn_link_grop|dsn_sum_m|dsn_dstn|dsn_sum_i|dsn_fromto
37,brv_dstn_fromto,brv,122,16,15.11,dsf_link_proj|dsf_link_grop|dsf_link_main|dsf_nufh|dsf_frkm|dsf_nusv|dsf_type|dsf_cofh|dsf_nuse|dsf_tokm|dsf_zrib|dsf_sum_i,dsf_link_proj|dsf_link_grop|dsf_link_main|dsf_nufh|dsf_frkm|dsf_nusv|dsf_type|dsf_cofh|dsf_nuse|dsf_tokm|dsf_zrib|dsf_sum_i|dsf_sum_k_i|dsf_Formul|dsf_tokmReal|dsf_type1_km
38,brv_dstn_main_rzmt,brv,28652,11,8.01,dsn_link_proj|dsn_link_mog|dsn_id|dsn_nusv|dsn_type|dsn_nufh|dsn_link_grop|dsn_sum_m|dsn_dstn|dsn_sum_i|dsn_fromto,dsn_link_proj|dsn_link_mog|dsn_id|dsn_nusv|dsn_type|dsn_nufh|dsn_link_grop|dsn_sum_m|dsn_dstn|dsn_sum_i|dsn_fromto
39,brv_dstn_fromto_rzmt,brv,66,17,16.03,dsf_link_proj|dsf_link_main|dsf_link_mog|dsf_link_grop|dsf_nufh|dsf_frkm|dsf_nusv|dsf_type|dsf_cofh|dsf_nuse|dsf_tokm|dsf_zrib,dsf_link_proj|dsf_link_main|dsf_link_mog|dsf_link_grop|dsf_nufh|dsf_frkm|dsf_nusv|dsf_type|dsf_cofh|dsf_nuse|dsf_tokm|dsf_zrib|dsf_sum_i|dsf_sum_k_i|dsf_Formul|dsf_type1_km|dsf_tokmReal
40,brv_sorc_all,brv,155,12,12.0,src_link_proj|src_nusv|src_type|src_id|src_grop|src_dscr|src_unit|src_pcun_net|src_pcun_amar|src_pcun_rooz|src_code_amel|src_Tajmi,src_link_proj|src_nusv|src_type|src_id|src_grop|src_dscr|src_unit|src_pcun_net|src_pcun_amar|src_pcun_rooz|src_code_amel|src_Tajmi
41,brv_sorc,brv,155,9,8.2,src_link_proj|src_link_sorclist|src_nufh|src_nusv|src_type|src_pcun_net|src_date_amar|src_Tajmi|src_pcun_amar,src_link_proj|src_link_sorclist|src_nufh|src_nusv|src_type|src_pcun_net|src_date_amar|src_Tajmi|src_pcun_amar
42,brv_nmmhb,brv,155,15,15.0,nmb_link_proj|nmb_link_sorclist|nmb_nufh|nmb_nuse|nmb_cofh|nmb_nusv|nmb_type|nmb_rad|nmb_quan|nmb_zrib|nmb_Tajmi|nmb_megias,nmb_link_proj|nmb_link_sorclist|nmb_nufh|nmb_nuse|nmb_cofh|nmb_nusv|nmb_type|nmb_rad|nmb_quan|nmb_zrib|nmb_Tajmi|nmb_megias|nmb_quan_kol|nmb_quan_kol_Meghyas|nmb_quan_nft
43,brv_Jobrankosoorat,brv,186,9,9.0,tkr_link_proj|tkr_nusv|tkr_type|tkr_id|tkr_rad|tkr_name|tkr_prcn|tkr_PlusOrMinec|Tkr_Mablaghi,tkr_link_proj|tkr_nusv|tkr_type|tkr_id|tkr_rad|tkr_name|tkr_prcn|tkr_PlusOrMinec|Tkr_Mablaghi
44,brv_Arzkosoorat,brv,186,9,9.0,tkr_link_proj|tkr_nusv|tkr_type|tkr_id|tkr_rad|tkr_name|tkr_prcn|tkr_PlusOrMinec|Tkr_Mablaghi,tkr_link_proj|tkr_nusv|tkr_type|tkr_id|tkr_rad|tkr_name|tkr_prcn|tkr_PlusOrMinec|Tkr_Mablaghi
45,brv_Tadilkosorat,brv,192,9,9.0,Tkr_link_proj|Tkr_nusv|Tkr_type|Tkr_id|Tkr_rad|Tkr_name|Tkr_prcn|Tkr_PlusOrMinec|Tkr_Mablaghi,Tkr_link_proj|Tkr_nusv|Tkr_type|Tkr_id|Tkr_rad|Tkr_name|Tkr_prcn|Tkr_PlusOrMinec|Tkr_Mablaghi
