source_file,tip_no,form_title,module_family,capability_summary,web_interpretation
tx_tips_svz.txt,17,ریزمتره و خلاصه متره,متره / ریزمتره,امکان رسم تصویر برای هر آیتم در ریزمتره یا خلاصه متره و گزارشگیری آنها وجود دارد .,ثبت ریزمتره، فرمول مقدار و اتصال به آیتم‌ها
tx_tips_svz.txt,18,ریزمتره و خلاصه متره,تعدیل / شاخص,امکان تعریف آیتم ستاره دار، فاکتوری، مبنای قرارداد، قیمت جدید، فاقد تعدیل، مجازی در هر یک از فرم های ریزمتره، خلاصه متره و برگه مالی وجود دارد .,انتخاب دوره، شاخص، محاسبه ضریب و مبلغ تعدیل
tx_tips_svz.txt,19,ریزمتره و خلاصه متره و برگه مالی,متره / ریزمتره,دسترسی به فهرست بهای پایه و تمام آیتم های مختص آن در هر دفترچه در سیستم وجود دارد .,ثبت ریزمتره، فرمول مقدار و اتصال به آیتم‌ها
tx_tips_svz.txt,20,ریزمتره و خلاصه متره و برگه مالی,متره / ریزمتره,امکان فرمول نویسی برای هر یک از متغیرهای فرم های ورودی از قبیل ریزمتره، برگه مالی و خلاصه متره,ثبت ریزمتره، فرمول مقدار و اتصال به آیتم‌ها
tx_tips_svz.txt,21,امکان جستجو و مرتب سازی روی تمام جداول فرم های موجود در سیستم وجود دارد .,عمومی / نامشخص,,نیازمند بررسی دستی
tx_tips_svz.txt,22,ریزمتره و خلاصه متره و برگه مالی,متره / ریزمتره,امکان اضافه کردن کدهای مرتبط تحت عنوان اضافه یا کسربها در سیستم وجود دارد .,ثبت ریزمتره، فرمول مقدار و اتصال به آیتم‌ها
tx_tips_svz.txt,23,آناليز بها,آنالیز بها / منابع,امکان آنالیز آیتم های برگه مالی براساس شرح، بهای واحد، آیتم های جدید وجود دارد .,تحلیل عوامل چهارگانه و قیمت منابع
tx_tips_svz.txt,24,مابه التفاوت حملامکان محاسبه حمل برای همه عناوین مصالح هر فهرست بها وجود دارد .,منابع / مصالح / حمل,,مصالح، ماشین‌آلات، نیروی انسانی، حمل و منبع‌یابی
tx_tips_svz.txt,25,مابه التفاوت حمل,منابع / مصالح / حمل,امکان استفاده از فواصل تمام نقاط کشور در محاسبات حمل وجود دارد .,مصالح، ماشین‌آلات، نیروی انسانی، حمل و منبع‌یابی
tx_tips_svz.txt,26,مابه التفاوت حمل,منابع / مصالح / حمل,امکان محاسبه حمل مصالح که از چندین نقطه مختلف طی مسیر کرده اند ، وجود دارد .,مصالح، ماشین‌آلات، نیروی انسانی، حمل و منبع‌یابی
tx_tips_svz.txt,27,فصول و دفترچه ها,فهرست‌بها / دفترچه,امکان مشاهده فصول و دفترچه ها با احتساب ضرایب یا به صورت خالص وجود دارد .,انتخاب دفترچه، فصل و آیتم فهرست‌بها
tx_tips_svz.txt,28,برگه مالی ،فصول و دفترچه ها,فهرست‌بها / دفترچه,امکان محاسبه درصد اجرا شده، مقدار افزایش و کاهش یافته وجود دارد .,انتخاب دفترچه، فصل و آیتم فهرست‌بها
tx_tips_svz.txt,29,فصول و دفترچه ها,فهرست‌بها / دفترچه,مشاهده درصدهای وزنی هر فصل و دفترچه در کل پروژه وجود دارد .,انتخاب دفترچه، فصل و آیتم فهرست‌بها
tx_tips_svz.txt,30,فهارس پايه,تعدیل / شاخص,دسترسی به شاخص های هر سه ماهه به صورت فصلی، رشته ای و کل به تفکیک دفترچه ها  وجود دارد .,انتخاب دوره، شاخص، محاسبه ضریب و مبلغ تعدیل
tx_tips_svz.txt,31,درخت,عمومی / نامشخص,مشاهده کل پروژه های سیستم در قالب درخت در حین ورود به برنامه در سیستم وجود دارد .,نیازمند بررسی دستی
tx_tips_svz.txt,32,نصب,عمومی / نامشخص,امکان نصب پایگاه اطلاعاتی روی سرور به علت بالابردن امنیت داده ها و استفاده عمومی سایر کاربران از آن وجود دارد .,نیازمند بررسی دستی
tx_tips_svz.txt,33,امکان تک کاربره و شبکه بودن قفل برنامه و به طبع آن امکان ورود چندین کاربر هم زمان در سیستم های تحت شبکه در سیستم وجود دارد .,عمومی / نامشخص,,نیازمند بررسی دستی
tx_tips_svz.txt,34,درخت پروژه ها,گزارش / چاپ,گرفتن گزارشات مدیریتی از درخت پروژه ها وجود دارد .,خروجی قابل چاپ/PDF/Excel
tx_tips_svz.txt,35,درخت پروژه ها,عمومی / نامشخص,امکان کپی بخشهای مختلف یک پروژه به پروژه دیگر به همراه توانایی تغییر سال پایه وجود دارد .,نیازمند بررسی دستی
tx_tips_svz.txt,36,دستیابی کاربران,عمومی / نامشخص,تعریف چندین نقش و کاربر برای دسترسی به اطلاعات پروژه های موجود و اطلاعات پایه وجود دارد .,نیازمند بررسی دستی
tx_tips_svz.txt,37,دستیابی کاربران,عمومی / نامشخص,امکان تعریف رمز عبور برای هر کاربر به طور کاملاً مجزا دارد .,نیازمند بررسی دستی
tx_tips_svz.txt,38,درخت پروژه ها,عمومی / نامشخص,امکان بازیابی ا ز فایل های Backup گیری و همچنین آرشیو کردن پروژه ها وجود دارد .,نیازمند بررسی دستی
tx_tips_svz.txt,39,فهارس بهای پایه,عمومی / نامشخص,امکان دسترسی به اطلاعات پایه با توجه به سطح دستیابی تعریف شده وجود دارد .,نیازمند بررسی دستی
tx_tips_svz.txt,40,مسافت ها,عمومی / نامشخص,امکان مشاهده مسافت تمام نقاط مختلف کشور براساس وزارت راه وجود دارد .,نیازمند بررسی دستی
tx_tips_svz.txt,41,تقریب مقادیر,عمومی / نامشخص,امکان تعریف تقریب مقادیر متغیرهای فرم های موجود بر حسب نیاز وجود دارد .,نیازمند بررسی دستی
tx_tips_svz.txt,42,پيمان,فهرست‌بها / دفترچه,امکان تعریف دفترچه های (فهارس بها)خاص برای هر سیستم و دسترسی به آن در تمام پروژه های دیگر وجود دارد .,انتخاب دفترچه، فصل و آیتم فهرست‌بها
tx_tips_svz.txt,43,ضرایب,ضرایب,امکان تعریف ضرایب به تفکیک نوع آیتم ها از قبیل ستاره دار، فاکتوری و یا عادی وجود دارد .,اعمال ضرایب، تجهیز، بالاسری و ضرایب دفترچه
tx_tips_svz.txt,44,ضرایب,ضرایب,امکان تعریف عنوان ضرایب جدید و خاص پروژه جاری و نیز تغییر عناوین موجود وجود دارد .,اعمال ضرایب، تجهیز، بالاسری و ضرایب دفترچه
tx_tips_svz.txt,45,ضرایب,فهرست‌بها / دفترچه,امکان مشاهده ضرایب منطقه ای هر دفترچه وجود دارد .,انتخاب دفترچه، فصل و آیتم فهرست‌بها
tx_tips_svz.txt,46,ضرایب,ضرایب,امکان محاسبه ضرایب طبقات و ارتفاع (ارتفاع مساوی یا غیرهمسان) وجود دارد .,اعمال ضرایب، تجهیز، بالاسری و ضرایب دفترچه
tx_tips_svz.txt,47,امکان کپی و Paste بین رکوردهای هر فرم از یک پروژه به سایر بخشهای مرتبط آن در سیستم وجود دارد .,عمومی / نامشخص,,نیازمند بررسی دستی
tx_tips_svz.txt,48,امکان تعریف موقعیت و ضریب برای هر یک از آنهادر سیستم وجود دارد .,ضرایب,,اعمال ضرایب، تجهیز، بالاسری و ضرایب دفترچه
tx_tips_svz.txt,49,دردرخت پروژه ها,عمومی / نامشخص,امکان تعریف پروژه مادر و زير پروژه های نامحدود وجود دارد.,نیازمند بررسی دستی
tx_tips_svz.txt,50,در درخت پروژه ها,عمومی / نامشخص,امکان آرشیو کردن پروژه های قديمی و بدون استفاده وجود دارد.,نیازمند بررسی دستی
tx_tips_svz.txt,51,در درخت پروژه ها,گزارش / چاپ,امکان تعریف چندين نسخه با رنگهای مجزا به صورت نامحدود وجود دارد که هر کدام می توانند همراه با امضای اسکن شده در گزارشات مشاهده شوند.,خروجی قابل چاپ/PDF/Excel
tx_tips_svz.txt,52,امکان انتقال اطلاعات بین صورت وضعیت ها(نقل از قبل).,صورت‌وضعیت / کارکرد,,ثبت کارکرد، مقادیر دوره، قبلی و تجمعی
tx_tips_svz.txt,53,امکان رسیدگی به صورت وضعیت های قبلی.,صورت‌وضعیت / کارکرد,,ثبت کارکرد، مقادیر دوره، قبلی و تجمعی
tx_tips_svz.txt,54,امکان Read Only کردن هر نسخه.,عمومی / نامشخص,,نیازمند بررسی دستی
tx_tips_svz.txt,55,امکان دسترسی به مستندات فنی.,عمومی / نامشخص,,نیازمند بررسی دستی
tx_tips_svz.txt,56,ضرایب,فهرست‌بها / دفترچه,امکان تعریف ضرایب پایکار مجزا برای هر فصل وجود دارد.,انتخاب دفترچه، فصل و آیتم فهرست‌بها
tx_tips_svz.txt,57,ریزمتره,متره / ریزمتره,امکان دسترسی به جداول اشتال وجود دارد.,ثبت ریزمتره، فرمول مقدار و اتصال به آیتم‌ها
tx_tips_svz.txt,58,ریزمتره,متره / ریزمتره,امکان تعریف چندین موقعیت با ضرایب مختلف و مجزا وجود دارد.,ثبت ریزمتره، فرمول مقدار و اتصال به آیتم‌ها
tx_tips_svz.txt,59,برگه مالی,فهرست‌بها / دفترچه,امکان تطبیق آيتم های پایکار به فصل مربوطه شان وجود دارد.,انتخاب دفترچه، فصل و آیتم فهرست‌بها
tx_tips_svz.txt,60,برگه مالی,صورت‌وضعیت / کارکرد,امکان فیلترینگ آیتم ها بر اساس کارکرد يا پايکار ، وجود دارد.,ثبت کارکرد، مقادیر دوره، قبلی و تجمعی
tx_tips_svz.txt,61,تعدیل,صورت‌وضعیت / کارکرد,امکان محاسبه انترپوله زمانی کارکرد بین دو صورت وضعیت وجود دارد,ثبت کارکرد، مقادیر دوره، قبلی و تجمعی
tx_tips_svz.txt,62,تعدیل,صورت‌وضعیت / کارکرد,امکان محاسبه تعدیل بین صورت وضعيت فعلی و آخرین نسخه تایید شده از صورت وضعیت قبلی وجود دارد.,ثبت کارکرد، مقادیر دوره، قبلی و تجمعی
tx_tips_svz.txt,63,تعدیل,تعدیل / شاخص,امکان محاسبه شاخص میانگین برای دوره های بیشتر از خاتمه مجاز ، وجود دارد.,انتخاب دوره، شاخص، محاسبه ضریب و مبلغ تعدیل
tx_tips_svz.txt,64,تعدیل,تعدیل / شاخص,امکان دسترسی کاربران به شاخص های هر دوره از فهرست بها وجود دارد.,انتخاب دوره، شاخص، محاسبه ضریب و مبلغ تعدیل
tx_tips_svz.txt,65,تعدیل,تعدیل / شاخص,امکان محاسبه شاخص های اعلام نشده به صورت درصد رشد یا نسبت رشد دوره های قبلی وجود دارد.,انتخاب دوره، شاخص، محاسبه ضریب و مبلغ تعدیل
tx_tips_svz.txt,66,گزارشات,صورت‌وضعیت / کارکرد,امکان گزارشگیری رنگی از نسخه های موجود در هر صورت وضعیت وجود دارد.,ثبت کارکرد، مقادیر دوره، قبلی و تجمعی
